On Card Played Add Foam Bullets To Hand                                 ,Add <{a}> <card=FoamBullet> to your hand when played                                                               ,Stock of Foam Bullets(1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,Instant Summon FoamBullet In Hand                                            ,StatusEffectApplyXOnCardPlayed                        ,nan                                                                      ,0           ,nan                                     ,Custom effect: adds Foam Bullets to hand on play.                        
Summon FoamBullet                                                      ,Summon <card=FoamBullet>                                                                                                                                ,[Indirect]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Temporary Summoned                                                             ,StatusEffectSummon                                    ,nan                                                                      ,99999           ,nan                                     ,Summons a Foam Bullet item card.                                           
Instant Summon FoamBullet In Hand                                       ,None                                                                                                                                                      ,[Indirect]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Summon FoamBullet                                                              ,StatusEffectInstantSummon                             ,nan                                                                      ,99999           ,nan                                     ,Instantly adds a Foam Bullet to hand.                                      
Name,In Game Text (Keep The <Stuff> For Now),Used By (And Amount If Stackable/Boostable),Using,Class,Target Constraints / Apply Constraints(a),Event Priority,Scriptable Amount / Context Amount(c),Notes
Activate Sacrifice Effects For Other Team                                ,None                                                                                                                                                      ,[Indirect]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,nan                                                                            ,StatusEffectInstantActivateSacrificeEffects           ,nan                                                                      ,999999           ,nan                                     ,nan                                                                   
Add Attack & Health To Summon                                            ,None; Used by Effigy Trait                                                                                                                                ,Lamb Charm(2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Increase Attack & Health                                                       ,StatusEffectApplyToSummon                             ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Apply Haze & Double Attack                                               ,None                                                                                                                                                      ,[Indirect]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"Apply Haze, Double Attack                                                      ",StatusEffectInstantMultiple                           ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Apply Haze                                                               ,None                                                                                                                                                      ,[Indirect]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Haze                                                                           ,StatusEffectInstantApplyEffect                        ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Block                                                                    ,None                                                                                                                                                      ,"Krab(3),Nova(1),Numskull(8),Block Charm(1),Frozen Heart Charm(2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",nan                                                                            ,StatusEffectBlock                                     ,Can Be Hit                                                               ,-1           ,nan                                     ,nan                                                                   
Bombard 1                                                                ,None; Used by Bombard 1 Trait                                                                                                                             ,Krunker(1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,nan                                                                            ,StatusEffectBombard                                   ,nan                                                                      ,0           ,nan                                     ,Works correctly when given to allies.                                 
Bombard 2                                                                ,None; Used by Bombard 2 Trait                                                                                                                             ,Krunker(1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,nan                                                                            ,StatusEffectBombard                                   ,nan                                                                      ,0           ,nan                                     ,Works correctly when given to allies.                                 
